Rank,Category,Template,Size,Files,HTML_Pages,TechStack,Features,Tier,PriceMin,PriceMax,VisualScore,FunctionScore,ValueScore,CompositeScore,Economies
1,photography-wedding,nextjs-wedding-photographer-website,322.9M,1003,0,React|Next.js|Three.js|Tailwind,Docker|Three.js|Next.js|TypeScript|Tailwind|React|FramerMotion,S,5000,10000,10,10,10,10.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
2,fashion,Fashion-eCommerce-Shop-in-React,107.3M,163,1,React|Tailwind,React|Ecommerce|Tailwind|TypeScript,S,4000,8000,7,10,10,9.0,"USA,Canada,UK,Australia,France,Switzerland,Germany"
3,3d-websites,Sayanth-portfolio,88.0M,114,1,React|Three.js,React|Three.js|TypeScript,A,2000,5000,9,7,8,8.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
4,portfolios,masterPortfolio,78.7M,1900,2,React|Bootstrap,React|Bootstrap|Docker,A,2000,5000,7,9,8,8.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
5,portfolios,hashir-home,69.6M,87,1,React,React,A,2000,5000,10,6,8,8.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
6,portfolios,said7388-portfolio,45.0M,226,0,React|Next.js|Bootstrap|Tailwind,Docker|Next.js|Tailwind|React|Bootstrap,A,2000,5000,7,9,8,8.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
7,tourism,Travel_Website,824.5M,583,75,Bootstrap,Bootstrap,A,2000,5000,7,8,8,7.7,"USA,Canada,UK,Australia,France,Switzerland,Germany"
8,landing-pages,awesome-landing-pages,79.2M,554,23,Tailwind,Tailwind,A,2000,5000,7,8,8,7.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
9,cafe-restaurant,techmahr_dinecraft,72.9M,155,18,Bootstrap,Bootstrap,A,2000,5000,7,8,8,7.7,"USA,Canada,UK,Australia,France,Switzerland,Germany"
10,news,themefisher_newsbit,27.1M,320,76,Bootstrap,Bootstrap,A,2000,5000,7,8,8,7.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
11,medical,themefisher_medic,17.2M,309,34,Bootstrap,Bootstrap,A,2000,5000,6,8,8,7.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
12,gym-fitness,ajay_gym,13.3M,135,13,Bootstrap,Bootstrap,A,2000,5000,6,8,8,7.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
13,portfolios,nextjs-portfolio-starter,12.2M,86,0,React|Next.js,React|Next.js|FramerMotion,B,500,2000,8,8,6,7.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
14,portfolios,developer-portfolio,8.3M,98,0,React|Next.js,React|Docker|Next.js|TypeScript,B,500,2000,6,10,6,7.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
15,3d-websites,my-portfolio-website,7.4M,109,1,React|Three.js,React|Three.js|TypeScript,B,500,2000,9,7,6,7.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
16,real-estate,cora_estate,53.5M,174,1,React,React,A,2000,5000,7,6,8,7.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
17,portfolios,developerFolio,32.5M,162,1,React,React|Docker,B,500,2000,7,8,6,7.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
18,threejs,nftai-3d-marketplace,24.9M,192,6,Bootstrap,Bootstrap|Three.js,B,500,2000,9,6,6,7.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
19,photography,react-photographer-portfolio-website-template,6.7M,88,2,React,React|FramerMotion,B,500,2000,8,7,6,7.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
20,portfolios,gitprofile,6.7M,85,1,React,React|Docker|Tailwind|TypeScript,B,500,2000,6,9,6,7.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
21,education-school,giathi_education,7.5M,123,15,Bootstrap,Bootstrap,B,500,2000,6,8,6,6.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
22,wedding-planning,wedding-template,4.9M,108,0,React|Next.js,React|Next.js|TypeScript,B,500,2000,6,8,6,6.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
23,agency-business,pinak_agency,637.7K,100,0,React|Next.js,React|Tailwind|Next.js|TypeScript,B,500,2000,6,8,6,6.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
24,portfolios,Portfolio,29.7M,104,1,React|Bootstrap,React|Bootstrap,B,500,2000,7,6,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
25,education-school,cora_university,23.9M,98,1,React|Bootstrap,React|Bootstrap,B,500,2000,7,6,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
26,threejs,robotai-3d-website,5.6M,41,1,Static,Three.js|Static,B,500,2000,8,5,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
27,attorney,businessline-corporate,5.6M,97,1,Three.js|Bootstrap,Bootstrap|Three.js,B,500,2000,8,5,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
28,medical,themixly_medical,4.0M,125,0,React|Next.js,React|Next.js,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
29,dentist,nextjs-dental-website-template,3.9M,129,0,React|Next.js,React|Next.js,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
30,medical,themixly_ortho,3.8M,131,0,React|Next.js,React|Next.js,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
31,construction,nextjs-construction-website-template,3.2M,120,0,React|Next.js,React|Next.js,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
32,event-wedding,react-event-planner-website-template,830.1K,72,1,React|Tailwind,React|Tailwind|TypeScript,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
33,real-estate,amozo_houses,565.5K,73,0,React|Tailwind,React|Tailwind|TypeScript,B,500,2000,6,7,6,6.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
34,tutoring,Coaching-Web-main,47.7M,18,8,Bootstrap,Bootstrap,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
35,cafe-restaurant,Restoran,39.2M,142,5,Bootstrap,Bootstrap,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,France,Switzerland,Germany"
36,pizza-bar,Pizza Delicacies,26.9M,43,5,Static,Static,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
37,cafe-restaurant,shabbir_restoran,22.9M,143,5,Bootstrap,Bootstrap,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,France,Switzerland,Germany"
38,agriculture-farming,themewagon_agriculture,20.3M,151,7,Bootstrap,Bootstrap,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
39,spa-beauty,beauty-salon,4.7M,82,10,Static,Static,C,100,500,6,8,4,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
40,portfolios,reactfolio,4.0M,93,1,React,React,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
41,portfolios,cleanfolio,1.4M,64,1,React,React,B,500,2000,6,6,6,6.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
42,dentist,The-Dentist,70.1M,43,1,Bootstrap,Bootstrap,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
43,real-estate,elsewailky_estatex,51.7M,135,3,Bootstrap,Bootstrap,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
44,portfolios,portfolio-template,43.6M,85,1,Static,Static,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
45,university,patrick_ze-university,38.7M,72,1,Bootstrap,Bootstrap,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
46,it-services,collections_aditya8Raj_webAgency,37.0M,76,3,Bootstrap,Bootstrap,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
47,portfolios,devfolio-mmacneil,34.5M,56,1,Static,Static,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
48,cafe-restaurant,restaurant-website,33.2M,38,1,Bootstrap,Bootstrap,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,France,Switzerland,Germany"
49,portfolios,nisar-portfolio-template,31.7M,56,1,Static,Static,B,500,2000,6,5,6,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
50,creative,learning-zone_themer-bootstrap-responsive-web-template,4.6M,94,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
51,sports,dawidolko_fitness_zone,4.2M,110,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
52,pet-animal,vibrant-corporate,4.0M,95,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
53,agency-business,learning-zone_vibrant-corporate-bootstrap-responsive-website-template,4.0M,95,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
54,tourism,learning-zone_traveller-bootstrap-responsive-web-template,4.0M,99,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,France,Switzerland,Germany"
55,app,learning-zone_line-free-app-landing-page-responsive-web-template,3.3M,92,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
56,veterinarian,medplus-medical,3.2M,108,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
57,pharmacy,medplus-medical,3.2M,108,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
58,medical,learning-zone_medplus-medical,3.2M,108,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
59,portfolio-gallery,learning-zone_times-corporate-portfolio-bootstrap-responsive-web-template,3.2M,101,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
60,party,times-corporate,3.2M,101,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
61,gardening-landscaping,ideal-interior-design,3.1M,99,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
62,furniture-interior,learning-zone_ideal-interior-design-free-bootstrap-website-template,3.1M,99,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
63,jewelry,darktouch-corporate,3.0M,100,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,France,Germany"
64,organic,learning-zone_green-corp-flat-free-responsive-mobile-website,2.7M,89,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
65,cctv-security,city-square,2.7M,99,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
66,wedding-planning,learning-zone_the-best-wedding-free-bootstrap-template,2.2M,57,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
67,app,learning-zone_mobile-app-free-one-page-responsive-html5-landing-page,2.0M,75,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
68,technology-saas,learning-zone_webtrends-free-bootstrap-responsive-web-template,1.7M,74,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
69,startup,learning-zone_skytouch-onepage-bootstrap-responsive-web-template,1.7M,71,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
70,portfolio-gallery,learning-zone_me-resume-personal-portfolio-responsive-template,1.6M,51,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
71,education-school,learning-zone_mentor-free-html5-bootstrap-coming-soon-template,1.3M,55,1,Three.js|Bootstrap,Bootstrap|Three.js,C,100,500,8,5,4,5.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
72,cafe-restaurant,themewagon_yummy,19.1M,141,2,Bootstrap,Bootstrap,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,France,Switzerland,Germany"
73,wedding-planning,wedding-site-template,17.2M,164,1,Bootstrap,Bootstrap,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
74,salon,Salon,16.3M,96,1,Bootstrap,Bootstrap,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
75,ecommerce-shop,ShopGrids,15.6M,58,1,Bootstrap,Bootstrap,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
76,hotel-travel,Hotel-Website-Template,12.9M,45,3,Static,Static,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
77,cafe-restaurant,Grilli--Restaurant-Website,10.3M,79,1,Static,Static,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,France,Switzerland,Germany"
78,agency-business,ryan_agency,7.2M,159,1,Static,Static,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
79,restaurant-cafe,collections_aditya8Raj_restaurant,5.5M,53,1,Static,Static,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Switzerland,Germany,France"
80,architecture,themewagon_archi,5.3M,81,1,Bootstrap,Bootstrap,B,500,2000,5,5,6,5.3,"USA,Canada,UK,Australia,Germany,Switzerland,France"
81,ecommerce-shop,Tailstore,4.1M,91,7,Tailwind,Tailwind,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
82,daycare-babysitting,delight-multi-purpose,3.9M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
83,education-school,learning-zone_school-educational-html5-template,3.8M,77,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
84,real-estate,learning-zone_icon-real-estate-developers-free-responsive-html-template,3.6M,80,7,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
85,hvac,everest-corporate,3.6M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
86,startup,learning-zone_rider-free-multi-purpose-bootstrap-template,3.5M,82,7,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
87,printing-press,swifty-business,3.5M,75,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
88,logistics,swifty-business,3.5M,75,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
89,agency-business,learning-zone_swifty-business-html5-website-template,3.5M,75,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
90,veterinarian,touch-hospital-medical,3.4M,88,7,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
91,hospital,learning-zone_touch-hospital-medical-bootstrap-html5-template,3.4M,88,7,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
92,real-estate,learning-zone_park-city-bootstrap-html-real-estate-responsive-template,3.3M,69,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
93,moving-storage,kavin-corporate,3.2M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
94,agency-business,learning-zone_kavin-corporate-bootstrap-responsive-web-template,3.2M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
95,courier,creative-bee-corporate,3.2M,71,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
96,mechanic,dawidolko_car_care_auto,3.1M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Germany,Switzerland,France"
97,transportation-taxi,moto-business,3.1M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
98,logistics,moto-business,3.1M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
99,automotive-car,learning-zone_moto-business-html5-responsive-web-template,3.1M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Germany,Switzerland,France"
100,seo,retro-consulting,3.0M,66,9,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
101,consulting,learning-zone_retro-free-consulting-responsive-html5-website-template,3.0M,66,9,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
102,veterinarian,vcare-hospital,2.9M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
103,hospital,learning-zone_vcare-free-html5-template-hospital-website,2.9M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
104,startup,learning-zone_target-multipurpose-free-bootstrap-responsive-template,2.9M,68,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
105,packaging,target-multipurpose,2.9M,68,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
106,seo,ninja-business-consulting,2.8M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
107,consulting,learning-zone_ninja-business-consulting-html-responsive-web-template,2.8M,72,6,Bootstrap,Bootstrap,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
